_type,_id,_revision,_page.next,gr_gyv_id,gyv_pav,gyventoju_sk,taskas_wgs
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,18c5e782-4fdf-4c4e-9d57-075d007d0711,a2668ea6-f095-4eba-b99f-5a7e2d3294e8,,10067,Ėgliškių k.,2,POINT (54.30968363 23.5401484)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,9b86d927-77fa-40de-935a-60e40e2b7c06,82cb8ead-b8d5-4e25-ae0c-237f4c498aad,,10068,Elveriškės k.,11,POINT (54.29188869 23.42874951)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,78616d63-e559-49f6-96c6-a1472c341287,cda7a402-cdd7-4407-9b74-4b3a98d37db3,,10069,Gembašilio k.,4,POINT (54.31680498 23.5159501)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,5d2074d8-309c-4a55-aec3-bfeab4af7d94,5a414337-e919-46d6-a631-b6261165c1c6,,10070,Gudeliškės k.,8,POINT (54.33372431 23.53482762)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,ee832849-a04c-4413-bccf-8e555f5ba43b,55a60a87-afc0-4256-a810-e42d6b9248e3,,10071,Gumbelių k.,4,POINT (54.31212407 23.46170362)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,45b36d3c-74d2-4391-aff3-89e6e6bce503,679bd40b-c28f-4f9e-b998-85fbba810a26,,10072,Išlandžių k.,2,POINT (54.37294746 23.45124678)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,d9b3e5bd-32e1-456e-8ff3-9da23fbdceef,2ec22b37-3979-47ac-8752-00151dfeb882,,10074,Karužų k.,81,POINT (54.27684729 23.47761323)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,f6d9c759-fae3-4c93-88a1-d2350d338eda,978bbad0-44b3-42fb-8d7a-b8872d3dcd3f,,10076,Kelmynų k.,11,POINT (54.27655398 23.50780525)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,158e48cd-1205-46a5-bca4-2bb575d8e07c,9f8cb0ae-1899-4db8-b29d-f2bff7765430,,10077,Kirsnelės k.,39,POINT (54.33787614 23.42895262)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,416798a9-7e07-4c15-b5fd-2d36da36005a,5651c0ce-ac3e-4aa5-97ea-8b90196d3597,,10078,Krosnėnų k.,43,POINT (54.35422201 23.51799603)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,e49ad96e-dc3f-4bb9-bcfe-11e2b33ddc80,bc3874bb-f29a-4560-a4e0-ed8ea4b5379f,,10079,Lopiškių k.,10,POINT (54.32347967 23.45610857)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,bb14202b-13c0-4608-9f6a-70faba9b2c40,367d8ced-dbdc-4678-b1ae-17bf2c917132,,1008,Vainiūnų k.,2,POINT (55.60490331 25.43602592)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,f55483c6-8606-408a-8b45-f8b32d6d1d7a,97b7f76c-885e-4661-8043-946fad934726,,10080,Maišymų k.,23,POINT (54.30305834 23.45705565)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,c7b5da59-192f-4e82-9acd-17ed42e593fe,cdd5d0c5-9987-4940-8ccb-7f9e4b1891ed,,10081,Makaučiškės k.,5,POINT (54.37074863 23.47464488)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,6152674b-e297-4d4e-bcb5-9e27301cf387,c252feef-be80-4f2b-866d-e99881ec71e0,,10082,Mikniškių k.,87,POINT (54.32329372 23.43263666)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,ec54c6a6-0343-4ef4-bb5e-04c3042bc90b,6a679527-e8de-43ed-b3ab-bb1aaa2adc2f,,10083,Neravų k.,12,POINT (54.29317579 23.49084602)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,3039dd54-d31e-4406-84b5-4fdb04c8d598,786c6590-25e8-437a-bea5-8b9129058933,,10084,Naujosios Kirsnos k.,141,POINT (54.33700131 23.47263318)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,c875df12-04d7-4f5e-a4b6-64d25662f27d,e81bec18-24cf-4e4c-8cbe-6190e2ed127c,,10085,Pakirsnių k.,50,POINT (54.31956083 23.48420582)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,6d862569-2df4-4730-901d-d06a0e50f44e,cb15b1d6-3a24-4ac3-a230-3fdfd11f4faf,,10086,Rimiečio k.,2,POINT (54.28868776 23.5165158)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,1e67738b-556b-4cc8-94a4-bac6ba825fb8,561435a4-b534-49b6-aa72-e2952f6671ce,,10087,Rolių k.,42,POINT (54.3183834 23.54530057)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,2b125e59-7620-4117-a687-56fab38396f6,0d6544e5-a08e-4338-a53d-130cea481a94,,10088,Rudaminos mstl.,197,POINT (54.28758187 23.45569377)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,b724515c-848e-4369-a41a-dbaaafc1970f,8fb8f3b1-0321-4273-a056-1981f5a3626c,,10089,Skaistučių k.,13,POINT (54.29297175 23.47512822)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,c4e4e09f-f377-45ac-a430-efb91c8567aa,267a7094-58f4-4291-a555-bec33e6381ae,,10091,Šeštokų mstl.,516,POINT (54.36017897 23.44569967)
